id,업종,브랜드,상호,가맹점수,기준연도,자산,자본,부채,법위반횟수,매출액,영업이익,당기순이익,초기투자비용합계,신규개점,계약종료,계약해지,명의변경,평균매출액,평가
3733,제과제빵,보네스뻬,롯데제과(주),27,2017,3848518300,2618416200,1230102100,0,1766907887,101708195,30594086,194800,0,3,5,1,288356,평균이상
5268,기타외식,코코이찌방야,(주)농심,13,2019,2406700248,1894351283,512348965,0,1857814054,66943481,75665003,95420,5,0,0,1,331631,평균미만
3779,아이스크림/빙수,나뚜루,롯데제과(주),52,2020,2327038486,1196397384,1130641102,0,1530146290,63509158,11059278,124953,3,0,11,0,141442,평균미만
5586,기타외식,코코이찌방야,(주)농심,8,2018,2317377704,1847175851,470201853,0,1855364121,76061851,80387195,167500,4,0,0,0,319890,평균미만
3640,제과제빵,보네스뻬,롯데제과(주),16,2019,2239784222,1195505100,1044279122,0,1586113348,59902415,16815029,194800,0,2,4,0,321564,평균이상
2299,일식,동원참치,동원산업(주),51,2017,1900330096,791111801,1109218295,0,1576385545,151446873,77413416,128250,2,4,12,3,590694,평균이상
3562,제과제빵,파리바게뜨,(주)파리크라상,3380,2020,1610152013,738060841,872091172,0,1835110668,76071852,6441023,306950,90,5,71,247,665567,평균이상
3861,커피,파스쿠찌,(주)파리크라상,460,2020,1610152013,738060841,872091172,0,1835110668,76071852,6441023,226150,51,0,32,45,392607,평균이상
3617,제과제빵,파리바게뜨,(주)파리크라상,3366,2019,1481457165,735476027,745981138,0,1777641696,55894964,4976248,306102,84,0,96,250,667134,평균이상
3972,커피,파스쿠찌,(주)파리크라상,441,2019,1481457165,735476027,745981138,0,1777641696,55894964,4976248,227470,62,0,29,38,386490,평균이상
3677,제과제빵,파리바게뜨,(주)파리크라상,3378,2018,1308943073,682859078,626083995,0,1774316302,43545110,32569506,281400,77,0,66,294,666070,평균이상
3747,제과제빵,파리바게뜨,(주)파리크라상,3367,2017,1207900440,670398651,537501789,0,1777178739,66466341,55101759,281400,105,4,50,289,664202,평균이상
4248,커피,파스쿠찌,(주)파리크라상,376,2017,1207900440,670398651,537501789,0,1777178739,66466341,55101759,227470,45,0,22,46,403649,평균이상
52,한식,빚은,(주)에스피씨삼립,55,2020,1196293065,322737724,873555341,0,2499238195,46977693,20238430,177250,5,0,15,2,173369,평균미만
3556,제과제빵,르뽀미에,(주)에스피씨삼립,7,2020,1196293065,322737724,873555341,0,2499238195,46977693,20238430,94050,0,0,3,0,261937,평균이상
3557,제과제빵,따삐오,(주)에스피씨삼립,73,2020,1196293065,322737724,873555341,0,2499238195,46977693,20238430,94050,13,0,24,6,134419,평균미만
3816,아이스크림/빙수,나뚜루,롯데지알에스(주),97,2017,1141979000,556298000,585681000,0,948882000,19266000,-11328000,135480,4,0,44,8,107885,평균미만
2595,패스트푸드,롯데리아,롯데지알에스(주),1216,2018,1125513000,578048000,547465000,0,907066000,3162000,-31190000,548989,52,24,8,119,645958,평균이상
3689,제과제빵,크리스피크림,롯데지알에스(주),60,2018,1125513000,578048000,547465000,0,907066000,3162000,-31190000,259465,9,0,2,3,287990,평균이상
4105,커피,엔제리너스(Angel-in-us Coffee),롯데지알에스(주),647,2018,1125513000,578048000,547465000,0,907066000,3162000,-31190000,281130,26,34,89,64,285963,평균이상
1375,한식,후원,(주)이랜드파크,2,2017,877994991,182970099,695024892,0,805448929,-13042395,-80415701,172800,0,0,0,0,540503,평균이상
3522,피자,피자몰,(주)이랜드파크,12,2017,877994991,182970099,695024892,0,805448929,-13042395,-80415701,222650,0,2,0,1,207712,평균미만
3820,아이스크림/빙수,뽀쪼,(주)이랜드파크,8,2017,877994991,182970099,695024892,0,805448929,-13042395,-80415701,103050,0,0,0,0,127988,평균미만
4260,커피,더카페,(주)이랜드파크,192,2017,877994991,182970099,695024892,0,805448929,-13042395,-80415701,69600,17,0,13,16,133650,평균미만
4261,커피,루고,(주)이랜드파크,3,2017,877994991,182970099,695024892,0,805448929,-13042395,-80415701,143770,1,0,0,0,260028,평균이상
4262,커피,포인포카페,(주)이랜드파크,5,2017,877994991,182970099,695024892,0,805448929,-13042395,-80415701,131270,0,0,0,1,126308,평균미만
2554,패스트푸드,롯데리아,롯데지알에스(주),1211,2020,817407000,254796000,562611000,0,839892000,21327000,6820000,387956,38,18,16,114,676866,평균이상
3581,제과제빵,크리스피크림,롯데지알에스(주),59,2020,817407000,254796000,562611000,0,839892000,21327000,6820000,231616,3,0,2,3,320257,평균이상
